2019-10-26 18:01:44,b'thank you AT_USER for having working tvs on board so i can witness AT_USER score a hat trick!!!!!!! go on young man \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 URL'
2019-10-26 18:01:15,"b'jetblue: newark \xe2\x80\x93 fort myers, florida (and vice versa). $105. roundtrip, including all taxes a good sale to/from fort myers united also have a $105 fare but that is a basic economy fare. united basic economy read more URL URL'"
2019-10-26 18:00:26,b'AT_USER is the fucking worst to deal with while trying to get my dog to boston'
2019-10-26 18:00:11,"b'airfare deal: [jetblue] newark - fort myers, florida (and vice versa) $105 roundtrip. details: URL travel for winter travel.'"
2019-10-26 17:58:19,b'AT_USER i\xe2\x80\x99ve tried multiple times and continue to get disconnected when i am transferred'
2019-10-26 17:58:11,b'rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER'
2019-10-26 17:56:37,"b""AT_USER that doesn't sound good. did you give our crewmembers a call at 801-449-2489?"""
2019-10-26 17:56:24,b'AT_USER jetblue is better imo. also a few years ago an autistic girl was kicked off a united plane.'
2019-10-26 17:47:28,b'AT_USER i\xe2\x80\x99ve never flown an airline that doesn\xe2\x80\x99t check your luggage to the final destination?? then to be put on hold for 18 minutes o ot to be disconnected when transferred to the next dept. have to say not a happy camper at the moment.'
2019-10-26 17:47:27,"b""AT_USER thanks but my flight has been delayed several times &amp; i missed my anniversary vacation. if we would've known the flight time would keep changing, we could have driven to another airport &amp; made it on time. i am still stuck at the new orleans airport and the power is out again."""
2019-10-26 17:44:49,"b'rt AT_USER tatum and brown were in sync tonight, logging 25pts/9reb/4ast apiece and connecting on the break for tonight\xe2\x80\x99s AT_USER play o\xe2\x80\xa6'"
2019-10-26 17:42:43,b'AT_USER hearing from workers that if this plane is not fixed there is no back up plan. can you please come up with one??? AT_USER jetblue jetblueflashfares'
2019-10-26 17:41:43,b'AT_USER AT_USER same flight - where are you? let\xe2\x80\x99s meet up and talk shit about AT_USER'
2019-10-26 17:41:09,"b'rt AT_USER AT_USER missing my meeting in las vegas because of a plane that was deemed unsafe. always fun boarding a plane, sitting\xe2\x80\xa6'"
2019-10-26 17:40:41,b'rt AT_USER wow - i\xe2\x80\x99m not having a great first time experience with AT_USER my flight that was scheduled for 10:20am departure got mo\xe2\x80\xa6'
2019-10-26 17:40:13,"b""AT_USER AT_USER whoever your social media person is, they're dropping the ball hardcore on this. i'll make sure to avoid being in the same spot eric is and choose anything but jet blue for my travel. sounds awful."""
2019-10-26 17:38:36,"b'AT_USER why are you so expensive??? \xf0\x9f\x99\x83 i refuse to take another airline but, y\xe2\x80\x99all are killing my pockets. can we get a promo code? sale? something? \xf0\x9f\x98\x82'"
2019-10-26 17:38:10,b'AT_USER AT_USER this is what good customer service looks like. takenotes'
2019-10-26 17:38:09,b'AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER nice pic!!'
2019-10-26 17:37:41,b'AT_USER we need to be into vegas by tonight. this is my first time flying jetblue and it\xe2\x80\x99s pretty outrageous.'
2019-10-26 17:36:38,b'AT_USER is this deaffriendly? probably not... URL'
2019-10-26 17:36:00,b'AT_USER thanks. i\xe2\x80\x99ll do it later. i don\xe2\x80\x99t have that info handy'
2019-10-26 17:35:44,"b""AT_USER we're still planning on operating your flight tonight."""
2019-10-26 17:33:21,b'AT_USER i just want to know if this plane will be leaving tonight?? can you ensure that?'
2019-10-26 17:32:23,"b'rt AT_USER tatum and brown were in sync tonight, logging 25pts/9reb/4ast apiece and connecting on the break for tonight\xe2\x80\x99s AT_USER play o\xe2\x80\xa6'"
